,start_station_id,boro_name
499,8152.03,Bronx
500,8676.01,Bronx
501,4883.03,Brooklyn
502,8052.01,Bronx
503,6753.08,Manhattan
504,7627.1,Manhattan
505,6361.03,Queens
506,7059.01,Manhattan
507,7855.03,Manhattan
508,7577.27,Manhattan
509,5779.08,Manhattan
510,7524.16,Manhattan
511,7680.03,Manhattan
512,7338.02,Manhattan
513,4565.04,Brooklyn
514,6072.11,Manhattan
515,4066.15,Brooklyn
516,6659.03,Manhattan
517,7323.09,Manhattan
518,4850.04,Brooklyn
519,6483.06,Manhattan
520,3993.03,Brooklyn
521,5797.01,Manhattan
522,3922.02,Brooklyn
523,4663.06,Brooklyn
524,5938.01,Manhattan
525,4683.02,Brooklyn
526,6795.01,Manhattan
527,3515.01,Brooklyn
528,5433.03,Brooklyn
529,8196.02,Bronx
530,6190.03,Manhattan
531,5062.01,Brooklyn
532,7372.1,Manhattan
533,6215.04,Manhattan
534,8021.11,Bronx
535,4789.03,Brooklyn
536,4617.01,Brooklyn
537,4190.06,Brooklyn
538,8080.01,Bronx
539,8205.05,Bronx
540,5125.03,Brooklyn
541,5422.04,Manhattan
542,4651.02,Brooklyn
543,5216.04,Manhattan
544,5515.02,Manhattan
545,7662.13,Manhattan
546,6511.03,Queens
547,4380.08,Brooklyn
548,4028.04,Brooklyn
549,6865.03,Queens
550,4404.1,Brooklyn
551,5869.04,Brooklyn
552,7137.04,Queens
553,6951.03,Queens
554,8307.05,Bronx
555,6827.11,Queens
556,3376.02,Brooklyn
557,7522.02,Manhattan
558,3428.02,Brooklyn
559,8269.01,Bronx
560,4632.1,Brooklyn
561,4656.03,Brooklyn
562,8182.02,Bronx
563,8126.07,Bronx
564,6128.04,Queens
565,2733.03,Brooklyn
566,3192.05,Brooklyn
567,7798.02,Bronx
568,8138.07,Manhattan
569,8811.01,Bronx
570,7178.02,Queens
571,6806.06,Queens
572,4695.04,Brooklyn
573,6257.03,Manhattan
574,6626.01,Manhattan
575,6960.1,Manhattan
576,7265.1,Manhattan
577,4507.07,Brooklyn
578,8507.02,Manhattan
579,8167.04,Bronx
580,3972.08,Brooklyn
581,5045.05,Brooklyn
582,4428.02,Brooklyn
583,4798.1,Queens
584,3056.05,Brooklyn
585,6804.01,Queens
586,8711.02,Bronx
587,6735.03,Queens
588,8619.02,Bronx
589,7957.11,Bronx
590,7066.01,Queens
591,7707.08,Bronx
592,4086.05,Brooklyn
593,7984.04,Bronx
594,4880.11,Queens
595,6621.06,Queens
596,8624.01,Bronx
597,8679.03,Manhattan
598,3011.03,Brooklyn
599,7821.01,Bronx
600,5241.02,Brooklyn
601,5470.12,Manhattan
602,8597.01,Bronx
603,5382.07,Manhattan
604,8316.02,Manhattan
605,7816.14,Bronx
606,4137.14,Brooklyn
607,5065.1,Manhattan
608,6364.1,Manhattan
609,5492.05,Manhattan
610,7652.04,Manhattan
611,7769.06,Manhattan
612,7281.09,Manhattan
613,7504.18,Manhattan
614,8384.03,Bronx
615,4553.04,Brooklyn
616,6889.12,Manhattan
617,3240.15,Brooklyn
618,7631.23,Manhattan
619,5034.03,Queens
620,5137.1,Manhattan
621,6425.04,Manhattan
622,4440.02,Manhattan
623,5578.02,Manhattan
624,6297.07,Manhattan
625,5117.05,Brooklyn
626,3344.02,Brooklyn
627,4914.03,Brooklyn
628,8057.02,Bronx
629,4590.01,Manhattan
630,6664.05,Queens
631,6203.02,Queens
632,5922.08,Manhattan
633,7830.03,Bronx
634,8111.04,Bronx
635,5788.12,Manhattan
636,6538.11,Queens
637,6682.08,Manhattan
638,5128.04,Manhattan
639,3272.01,Brooklyn
640,4203.04,Brooklyn
641,7074.01,Queens
642,8198.05,Bronx
643,7186.15,Queens
644,3202.06,Brooklyn
645,5403.05,Brooklyn
646,8734.04,Bronx
647,8183.02,Bronx
648,3243.02,Brooklyn
649,2872.02,Brooklyn
650,7940.02,Bronx
651,8141.01,Bronx
652,8550.04,Bronx
653,6526.05,Manhattan
654,6212.08,Queens
655,6955.05,Manhattan
656,4175.15,Brooklyn
657,8123.02,Manhattan
658,7636.05,Manhattan
659,7682.01,Manhattan
660,4700.06,Brooklyn
661,7640.04,Manhattan
662,7458.03,Manhattan
663,4724.03,Brooklyn
664,8085.05,Manhattan
665,5470.1,Manhattan
666,4821.06,Brooklyn
667,4927.04,Brooklyn
668,5204.05,Brooklyn
669,6286.02,Queens
670,3564.04,Brooklyn
671,7388.1,Manhattan
672,8060.01,Bronx
673,4526.01,Brooklyn
674,5115.01,Queens
675,4968.03,Brooklyn
676,6747.07,Manhattan
677,7414.17,Manhattan
678,4732.04,Brooklyn
679,7599.09,Manhattan
680,8069.01,Manhattan
681,8210.01,Manhattan
682,6535.04,Manhattan
683,7286.01,Manhattan
684,4936.14,Brooklyn
685,7595.17,Manhattan
686,7260.09,Manhattan
687,7863.03,Bronx
688,4718.08,Brooklyn
689,7759.08,Bronx
690,7409.08,Manhattan
691,7688.12,Manhattan
692,6876.04,Manhattan
693,7971.07,Manhattan
694,4434.06,Brooklyn
695,5679.05,Manhattan
