,start_station_id,start_lat,start_lng
275562,8715.06,40.87139,-73.914318
275628,5210.01,40.71323,-73.93894
275652,8616.06,40.865364,-73.92791
275729,5036.06,40.70583339,-73.94644578
276146,3007.05,40.642031,-73.981073
276242,6319.01,40.74708586,-73.94977234
276401,4962.08,40.70365182,-74.01167797
276408,8379.07,40.850885,-73.906469
276798,3426.02,40.653368,-73.976291
276897,5099.02,40.71019,-73.93734
276934,8241.07,40.84224,-73.8985
277007,4640.01,40.69356,-73.92524
277176,2883.03,40.638246,-74.024714
277284,8356.04,40.848793,-73.903178
277432,4137.1,40.677236,-74.015665
277437,5433.04,40.71882,-73.93948
277795,3420.01,40.654144,-74.00422
278166,8281.06,40.843264,-73.904867
278580,7974.01,40.823872,-73.908699
278644,3356.05,40.652502,-74.013587
278666,8115.01,40.832812,-73.929372
278672,8327.15,40.846011,-73.919637
279009,3457.03,40.65482,-73.973217
279131,8366.06,40.849629,-73.919205
279136,2832.03,40.637033,-74.022141
279169,4990.02,40.70514807698391,-73.97078096866608
279658,8081.01,40.829797,-73.931015
279669,3532.02,40.659176,-74.006584
279862,3303.01,40.649681,-73.967829
279875,6873.01,40.76535380385866,-73.93986314535141
279953,7891.06,40.817802,-73.905203
280129,3178.02,40.646377,-74.023087
280167,4965.01,40.70411791,-73.94818595
280192,7906.13,40.820089,-73.928947
280288,5137.13,40.7103231,-74.0043228
280416,4672.01,40.69543,-73.9196
280972,8510.02,40.858498,-73.89637
283749,8061.01,40.830179,-73.928747
283802,8278.05,40.844044,-73.933651
283804,8766.03,40.875531,-73.8863864831
283810,4202.04,40.6794327,-74.00785041
284007,3283.05,40.650176,-74.015606
284060,8084.03,40.830471,-73.904556
284173,4086.06,40.6763744,-74.00324957
284407,8163.05,40.836733,-73.887931
284711,8285.11,40.845505,-73.914311
285644,5509.02,40.72231,-74.0106
285815,8734.02,40.87307,-73.88971
285928,8242.04,40.842173,-73.935111
285982,8799.01,40.87812,-73.89192
285987,3704.08,40.66407983678161,-73.96025128666679
286393,4798.02,40.69922,-73.89795
286478,3138.09,40.644512,-74.021506
286573,5051.01,40.707165,-73.923711
286735,5123.07,40.70869,-73.92587
286745,4244.06,40.68139,-73.90756
286852,8478.11,40.855653,-73.905528
287539,4317.05,40.68281,-73.90623
287762,5539.06,40.72185379,-74.00771779
288106,8394.15,40.851113,-73.928808
288330,3315.05,40.651173,-74.011405
